ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,9146.27590975246,60305.10545939113,0.0,51158.82954963867,2871.1705187954817,54030.00006843415,0.0,51158.82954963867,3376.540800065285,54535.37034970395,0.0,51158.82954963867
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,32269.957447096276,96815.1495728766,32272.596062890167,96817.7881886705,31987.304852917958,96532.4969786983,0.0,64545.19212578033,31994.907293815144,96540.09941959547,32272.596062890167,96817.7881886705
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,97591.55036897954,750145.9002246578,326277.17492783914,978831.5247835175,198281.4244679278,850835.774323606,0.0,652554.3498556783,165600.56834126075,818154.918196939,326277.17492783914,978831.5247835175
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,83243.83444505931,841682.4521213623,0.0,758438.617676303,86279.17803680131,844717.7957131043,379219.3088381515,1137657.9265144547,194.27527156422428,758632.8929478673,0.0,758438.617676303
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,86159.15892655763,258817.2000505015,0.0,172658.04112394387,86283.01733833611,258941.05846227997,86329.02056197193,258987.0616859158,86328.1218469517,258986.1629708956,0.0,172658.04112394387
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,117.45559055380903,2698601.0236205123,0.0,2698483.5680299588,11784.473439287354,2710268.041469246,0.0,2698483.5680299588,66.30195147215449,2698549.869981431,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,190.4782807249225,742168.8146781498,0.0,741978.3363974248,85813.65167074962,827791.9880681745,0.0,741978.3363974248,147836.04169048314,889814.3780879079,34685.38848360537,776663.7248810302
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,136573.01551425102,892362.6937805524,0.0,755789.6782663013,224080.74214724905,979870.4204135503,0.0,755789.6782663013,246439.136908793,1002228.8151750943,0.0,755789.6782663013
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,36838.80126337797,2012863.4667145323,0.0,1976024.6654511543,1697.700439095658,1977722.36589025,0.0,1976024.6654511543,26426.825189430103,2002451.4906405844,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,73.36013204135276,1651597.0842841575,0.0,1651523.724152116,4578.997305106893,1656102.721457223,0.0,1651523.724152116,32005.535186011573,1683529.2593381277,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,40049.22627848798,896578.1296706112,428264.45169606165,1284793.355088185,279218.65679493325,1135747.5601870567,428264.45169606165,1284793.355088185,150237.00565286612,1006765.9090449894,428264.45169606165,1284793.355088185
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,135258.6403790926,643712.7513566704,0.0,508454.11097757774,7604.585456003681,516058.6964335814,0.0,508454.11097757774,45169.20364906651,553623.3146266442,0.0,508454.11097757774
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,120.06927418344782,1158468.9892891897,0.0,1158348.9200150063,8561.190217789406,1166910.1102327958,0.0,1158348.9200150063,471.001327179727,1158819.9213421862,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,64.7236415968691,2569702.604444753,0.0,2569637.880803156,1949.5286751759877,2571587.4094783324,0.0,2569637.880803156,10.124453362649563,2569648.0052565187,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,186688.29141876352,562177.7170514204,0.0,375489.4256326568,59770.31575099475,435259.7413836515,0.0,375489.4256326568,112720.82777244024,488210.25340509706,0.0,375489.4256326568
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,351075.3122325833,1541221.0981125252,0.0,1190145.785879942,244516.624279834,1434662.410159776,0.0,1190145.785879942,289727.23018889735,1479873.0160688392,595072.892939971,1785218.678819913
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,3.6341563182137837,7189934.150627013,0.0,7189930.516470695,6977.91640270367,7196908.432873399,0.0,7189930.516470695,29.26663671848776,7189959.783107413,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,380.43118629512765,1858240.3648149192,0.0,1857859.933628624,591.8011345113265,1858451.7347631354,0.0,1857859.933628624,74.62815858877951,1857934.561787213,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,69466.47655800013,273561.083775755,102047.30360887744,306141.9108266323,96481.39321115776,300576.00042891264,102047.30360887744,306141.9108266323,100139.1438676631,304233.751085418,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,14690.38925939009,44071.17850108921,14690.394620849562,44071.183862548685,14690.238240516428,44071.02748221555,14690.394620849562,44071.183862548685,14690.39207170542,44071.181313404544,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,180919.32207525623,1041302.5885123818,0.0,860383.2664371255,169093.5411430017,1029476.8075801271,430191.63321856275,1290574.8996556883,89251.88156949413,949635.1480066197,0.0,860383.2664371255
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,205071.33673075525,1611265.5625502141,0.0,1406194.225819459,55661.0040872218,1461855.2299066808,0.0,1406194.225819459,192140.596974442,1598334.822793901,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,72535.88501294867,1671483.541789351,0.0,1598947.6567764024,34960.47326531611,1633908.1300417185,0.0,1598947.6567764024,25699.063603926912,1624646.7203803293,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,444682.71226941235,2091457.0366048866,823387.1621677371,2470161.4865032113,401450.5813132073,2048224.9056486816,0.0,1646774.3243354743,307206.58472449426,1953980.9090599685,0.0,1646774.3243354743
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,9161.249497188033,2139835.4481323534,0.0,2130674.198635165,5.110169338635839,2130679.3088045036,0.0,2130674.198635165,12594.010143386737,2143268.208778552,0.0,2130674.198635165
PENDİK,2660127.494007945,749356.0,396,17,18,36.235408116735066,11638.966723483394,2671766.4607314286,0.0,2660127.494007945,13940.72500920418,2674068.2190171494,0.0,2660127.494007945,20506.582329603596,2680634.0763375484,0.0,2660127.494007945
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,81215.70873427189,932407.4676940627,0.0,851191.7589597908,203165.96885703888,1054357.7278168297,425595.8794798954,1276787.6384396863,196754.4894643363,1047946.2484241271,0.0,851191.7589597908
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,60008.418108924256,2803983.0839996426,0.0,2743974.6658907183,7211.920736873414,2751186.586627592,0.0,2743974.6658907183,802.8712232406539,2744777.537113959,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,79530.61681357703,790842.6006909888,0.0,711311.9838774118,92293.37271784607,803605.3565952579,355655.9919387059,1066967.9758161176,184469.3379549571,895781.3218323688,0.0,711311.9838774118
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,154739.55205930152,714752.9785860161,0.0,560013.4265267146,89476.0039548075,649489.4304815221,0.0,560013.4265267146,145885.74485664238,705899.1713833569,0.0,560013.4265267146
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,2205.801048174644,4067204.8801421425,0.0,4064999.079093968,4.496333469132075,4065003.575427437,0.0,4064999.079093968,28.549981497519155,4065027.6290754657,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,27385.35644347652,3181074.426323566,0.0,3153689.0698800897,11801.7307397638,3165490.8006198537,0.0,3153689.0698800897,258.19834618376257,3153947.2682262734,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,9929.47262933226,799571.7124859692,0.0,789642.239856637,30880.80708758376,820523.0469442208,0.0,789642.239856637,38219.26853611138,827861.5083927483,0.0,789642.239856637
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,203.85499012691685,1089010.4561655852,0.0,1088806.6011754582,1125.386781260001,1089931.987956718,0.0,1088806.6011754582,2.4679758551360456,1088809.0691513133,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,45432.97998727235,590716.4016377367,272641.71082523215,817925.1324756965,46305.81586017787,591589.2375106422,0.0,545283.4216504643,40936.81351117003,586220.2351616343,272641.71082523215,817925.1324756965
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,220465.01081960392,1668542.7937143445,724038.8914473703,2172116.6743421108,130178.146968085,1578255.9298628257,0.0,1448077.7828947406,152306.51957858837,1600384.302473329,354319.12965282536,1802396.912547566
ÜSKÜDAR,2357259.262471572,512981.0,296,9,33,25.062542720437456,13196.41080728918,2370455.673278861,0.0,2357259.262471572,199.92257221619627,2357459.185043788,0.0,2357259.262471572,3213.660453555601,2360472.9229251277,0.0,2357259.262471572
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,4335.409805287483,351502.48477168096,0.0,347167.07496639347,1876.9771238021385,349044.0520901956,0.0,347167.07496639347,8412.031651626578,355579.10661802004,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,46844.785852476925,401625.0507847266,177390.13246612487,532170.3973983746,141352.69460421093,496132.9595364607,0.0,354780.26493224973,48528.75831441646,403309.0232466662,0.0,354780.26493224973
