Proje Adı,İstasyon Adı,İlçe
T1 Kabataş - Bağcılar Tramvay Hattı,Mehmet Akif,Bahçelievler
M4 Kadıköy - SGH Metro Hattı,Soğanlık,Kartal
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Aksaray,Fatih
M9 Bahariye - Olimpiyat Metro Hattı,Olimpiyat,Başakşehir
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Sağmalcılar-Pancar Motor,Gaziosmanpaşa
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Karadeniz,Gaziosmanpaşa
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Bakırköy,Bakırköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Erenköy,Kadıköy
M4 Kadıköy - SGH Metro Hattı,Pendik,Pendik
M4 Kadıköy - SGH Metro Hattı,Yakacık - Adnan Kahveci,Kartal
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Güzelyalı,Pendik
M5 Üsküdar - Çekmeköy Metro Hattı,Çarşı,Ümraniye
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,İdealtepe,Maltepe
M5 Üsküdar - Çekmeköy Metro Hattı,Üsküdar,Üsküdar
M7 Yıldız - Mahmutbey Metro Hattı,Göztepe Mah.,Bağcılar
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Altıyol,Kadıköy
T1 Kabataş - Bağcılar Tramvay Hattı,Güngören,Güngören
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Üniversite,Eyüpsultan
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Alibeyköy Merkez,Eyüpsultan
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Alibeyköy Metro,Eyüpsultan
Eminönü - Eyüp - Alibeyköy Tramvay Hattı,Alibeyköy Cep Otogarı,Eyüpsultan
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Cibali,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Fetihkapı,Zeytinburnu
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Sanayi Mah.,Sarıyer
T1 Kabataş - Bağcılar Tramvay Hattı,Tophane,Beyoğlu
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Kirazlı,Bağcılar
T1 Kabataş - Bağcılar Tramvay Hattı,Gülhane,Fatih
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Siteler,Başakşehir
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Bahariye,Kadıköy
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Levent,Şişli
T1 Kabataş - Bağcılar Tramvay Hattı,Topkapı,Zeytinburnu
T1 Kabataş - Bağcılar Tramvay Hattı,Merkezefendi,Zeytinburnu
T1 Kabataş - Bağcılar Tramvay Hattı,Yavuz Selim Camii,Güngören
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Yeşilyurt,Bakırköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Tersane,Pendik
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Halkalı,Küçükçekmece
M7 Yıldız - Mahmutbey Metro Hattı,Mahmutbey,Bağcılar
M4 Kadıköy - SGH Metro Hattı,Ünalan,Üsküdar
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Fener,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Yenimahalle,Sultangazi
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Otogar,Bayrampaşa
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Habibler,Sultangazi
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Başak Konutları,Başakşehir
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,4. Levent,Kağıthane
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Esenler,Esenler
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Mühürdar,Kadıköy
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Kocatepe,Bayrampaşa
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Taşköprü,Gaziosmanpaşa
M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Etiler,Beşiktaş
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Suadiye,Kadıköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Bostancı,Kadıköy
M7 Yıldız - Mahmutbey Metro Hattı,Oruc Reis,Esenler
M7 Yıldız - Mahmutbey Metro Hattı,Çırçır,Eyüpsultan
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mustafa Kemal,Küçükçekmece
T1 Kabataş - Bağcılar Tramvay Hattı,Sirkeci,Fatih
T1 Kabataş - Bağcılar Tramvay Hattı,Pazartekke,Fatih
M1B Yenikapı - Kirazlı Metro Hattı,Kirazlı,Bağcılar
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Bayrampaşa,Eyüpsultan
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Eyüpsultan Teleferik,Eyüpsultan
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,İTÜ Ayazağa,Sarıyer
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Yenikapı,Fatih
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Damga Sk.,Kadıköy
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Gayrettepe,Şişli
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Edirnekapı,Eyüpsultan
T1 Kabataş - Bağcılar Tramvay Hattı,Kabataş,Beyoğlu
F1 Taksim - Kabataş Füniküler Hattı,Kabataş,Beyoğlu
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Rami,Eyüpsultan
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Ali Fuat Başgil,Gaziosmanpaşa
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Yenibosna,Bakırköy
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mahmutbey,Bağcılar
T1 Kabataş - Bağcılar Tramvay Hattı,Aksaray,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Uluyol-Bereç,Gaziosmanpaşa
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Hacı Şükrü,Sultangazi
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Cebeci,Sultangazi
T1 Kabataş - Bağcılar Tramvay Hattı,Üniversite-Laleli,Fatih
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Yunus,Kartal
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Pendik,Pendik
M7 Yıldız - Mahmutbey Metro Hattı,Karadeniz Mah.,Gaziosmanpaşa
M5 Üsküdar - Çekmeköy Metro Hattı,Çakmak,Ümraniye
M7 Yıldız - Mahmutbey Metro Hattı,Kağıthane,Kağıthane
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,İçmeler,Tuzla
M7 Yıldız - Mahmutbey Metro Hattı,Mecidiyeköy,Şişli
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Zeytinburnu,Zeytinburnu
M9 Bahariye - Olimpiyat Metro Hattı,Bahariye,Küçükçekmece
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Küçükçekmece,Küçükçekmece
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Florya Akvaryum,Bakırköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Süreyya Plajı,Maltepe
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Çarşı,Kadıköy
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Darüşşafaka,Sarıyer
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Atatürk Oto Sanayi,Sarıyer
M4 Kadıköy - SGH Metro Hattı,Maltepe,Maltepe
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Kilise,Kadıköy
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Moda İlkokulu,Kadıköy
T1 Kabataş - Bağcılar Tramvay Hattı,Çemberlitaş,Fatih
T1 Kabataş - Bağcılar Tramvay Hattı,Çapa,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Demirkapı,Eyüpsultan
T1 Kabataş - Bağcılar Tramvay Hattı,Haseki,Fatih
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Davutpaşa - YTÜ,Esenler
M4 Kadıköy - SGH Metro Hattı,Yenisahra,Kadıköy
F1 Taksim - Kabataş Füniküler Hattı,Taksim,Beyoğlu
T1 Kabataş - Bağcılar Tramvay Hattı,Sultanahmet,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Vatan,Eyüpsultan
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Bakırköy,Bakırköy
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Hacıosman,Sarıyer
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Vezneciler - İstanbul Ünv.,Fatih
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Yeni Mahalle,Bağcılar
T1 Kabataş - Bağcılar Tramvay Hattı,Bağcılar,Bağcılar
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mescid-i Selam,Sultangazi
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Haliç,
M4 Kadıköy - SGH Metro Hattı,Bostancı,Kadıköy
M5 Üsküdar - Çekmeköy Metro Hattı,Ümraniye,Ümraniye
M4 Kadıköy - SGH Metro Hattı,Tavşantepe,Pendik
M7 Yıldız - Mahmutbey Metro Hattı,Kazım Karabekir,Gaziosmanpaşa
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Ataköy,Bakırköy
M5 Üsküdar - Çekmeköy Metro Hattı,Fıstık Ağacı,Üsküdar
M7 Yıldız - Mahmutbey Metro Hattı,Veysel Karani  - Akşemsettin,Eyüpsultan
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Üsküdar,Üsküdar
M5 Üsküdar - Çekmeköy Metro Hattı,Bağlarbaşı,Üsküdar
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Yeşilköy,Bakırköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Maltepe,Maltepe
M7 Yıldız - Mahmutbey Metro Hattı,Yenimahalle,Gaziosmanpaşa
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Küçükyalı,Maltepe
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Florya,Bakırköy
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Ayrılık Çeşmesi,Kadıköy
T1 Kabataş - Bağcılar Tramvay Hattı,Fındıklı,Beyoğlu
T1 Kabataş - Bağcılar Tramvay Hattı,Karaköy,Beyoğlu
T1 Kabataş - Bağcılar Tramvay Hattı,Seyitnizam,Zeytinburnu
T1 Kabataş - Bağcılar Tramvay Hattı,Soğanlı,Güngören
M4 Kadıköy - SGH Metro Hattı,Kozyatağı,Ataşehir
T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Moda,Kadıköy
T1 Kabataş - Bağcılar Tramvay Hattı,Yusufpaşa,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Şehitlik,Eyüpsultan
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Ataköy - Şirinevler,Bakırköy
M4 Kadıköy - SGH Metro Hattı,Huzurevi,Maltepe
T1 Kabataş - Bağcılar Tramvay Hattı,Merter Tekstil Merkezi,Bahçelievler
M1B Yenikapı - Kirazlı Metro Hattı,Menderes,Esenler
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,İstoç,Bağcılar
M1B Yenikapı - Kirazlı Metro Hattı,Bağcılar Meydan,Bağcılar
M4 Kadıköy - SGH Metro Hattı,Kartal,Kartal
M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Levent,Şişli
M5 Üsküdar - Çekmeköy Metro Hattı,Bulgurlu,Üsküdar
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Sirkeci,Fatih
M7 Yıldız - Mahmutbey Metro Hattı,Tekstilkent - Giyimkent,Esenler
M5 Üsküdar - Çekmeköy Metro Hattı,Kısıklı,Üsküdar
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Atalar,Kartal
M7 Yıldız - Mahmutbey Metro Hattı,Çağlayan,Kağıthane
M5 Üsküdar - Çekmeköy Metro Hattı,Dudullu,Ümraniye
M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Havaalanı,Bakırköy
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Taksim,Beyoğlu
T1 Kabataş - Bağcılar Tramvay Hattı,Zeytinburnu,Bakırköy
T1 Kabataş - Bağcılar Tramvay Hattı,Güneştepe,Güngören
M1B Yenikapı - Kirazlı Metro Hattı,Esenler,Esenler
M4 Kadıköy - SGH Metro Hattı,Gülsuyu,Maltepe
T1 Kabataş - Bağcılar Tramvay Hattı,Fındıkzade,Fatih
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Balat,Fatih
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Metris,Esenler
M4 Kadıköy - SGH Metro Hattı,Acıbadem,Kadıköy
M4 Kadıköy - SGH Metro Hattı,Ayrılık Çeşmesi,Kadıköy
M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Rumeli Hisarüstü,Sarıyer
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,İkitelli Sanayi,Başakşehir
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Başakşehir - Metrokent,Başakşehir
M4 Kadıköy - SGH Metro Hattı,Küçükyalı,Maltepe
T4 Topkapı - Mescid-i Selam Tramvay Hattı,Sultançifliği,Sultangazi
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Şişhane - Zemin İstanbul,Beyoğlu
M4 Kadıköy - SGH Metro Hattı,Kadıköy,Kadıköy
M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Şişli,Şişli
M5 Üsküdar - Çekmeköy Metro Hattı,Necip Fazıl,Ümraniye
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Kartal,Kartal
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Söğütlüçeşme,Kadıköy
M7 Yıldız - Mahmutbey Metro Hattı,Yeşilpınar,Eyüpsultan
M5 Üsküdar - Çekmeköy Metro Hattı,İmam Hatip,Ümraniye
Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Kazlıçeşme,Zeytinburnu
M5 Üsküdar - Çekmeköy Metro Hattı,Altınşehir,Ümraniye
