Durak Adı,İlçe
BAHÇEŞEHİR MİGROS TAKSİ DURAAĞI,Başakşehir
ÇİÇEK TAKSİ,Esenyurt
AVCILAR 3 TAKSİ DURAĞI,Avcılar
AVCILAR(6) ISPARTAKULE TAKSI,Avcılar
AVCILAR 1 TAKSİ DURAĞI,Avcılar
KÜÇÜKÇEKMECE MEYDAN YONCA TAKSİ DURAĞI,Küçükçekmece
BASINKÖY TAKSİ DURAĞI,Bakırköy
OLYMPİA TAKSİ DURAĞI,Küçükçekmece
FLORYA TURİZM TAKSİ,Bakırköy
METRO (FİKRET KARABAĞ) TAKSİ DURAĞI,Bakırköy
ATAKENT 2.3 ETAP TAKSI,Küçükçekmece
KONUT TAKSİ,Küçükçekmece
FLORYA FLYİNN TAKSİ DURAĞI,Bakırköy
İSPARK - PENDİK İDO İSKELE ÖNÜ,Pendik
HİLAL TAKSİ DURAĞI,Pendik
YENİDOĞAN MERKEZ TAKSİ DURAĞI,Sancaktepe
HASANPAŞA TAKSİ DURAĞI,Sultanbeyli
SSK TAKSİ DURAĞI,Pendik
EYÜP TAŞOCAĞI TAKSİ,Eyüpsultan
SÜTLÜCE KÜLTÜR TAKSI-1,Beyoğlu
İSPARK - KAĞITHANE ALİBEYKÖY SİLAHTARAĞA BİLGİ ÜNİVERSİTESİ YANI,Eyüpsultan
İSKENDERPAŞA TAKSİ,Fatih
İSPARK HORHOR - FATİH,Fatih
İSPARK YENİ KAPI İDO TAKSİ DURAĞI,Fatih
İSPARK YENİKAPI İDO,Fatih
İSPARK - FATİH BEYAZIT MEYDANI,Fatih
OKMEYDANI MERKEZ TAKSİ DURAĞI,Şişli
KAĞITHANE TERASEVLER TAKSİ DURAĞI,Kağıthane
İSPARK EMİNÖNÜ İETT DURAKLARI,Fatih
KAĞITHANE MERKEZ TAKSİ DURAĞI,Kağıthane
SULTANAHMET İMRAN ÖKTEM SOKAK UMUMA AÇIK TAKSİ DURAĞI,Fatih
ANTHILL Y.E. TAKSİ DURAĞI (GÜL ESKİ ADI),Şişli
REŞADİYE CADDESİ EMİNÖNÜ İDO İSKELESİ ÖNÜ UATD,Fatih
GÜRSEL MERKEZ TAKSİ,Kağıthane
BABIALİ TAKSİ,Fatih
EMİNÖNÜ SAHİL TAKSİ DURAĞI,Fatih
İSPARK - FATİH TCDD SİRKECİ GAR ÖNÜ,Fatih
İSPARK SULTANAHMET DALBASTI SOKAK UMUMA AÇIK TAKSİ DURAĞI,Fatih
BEYOĞLU ATIF YILMAZ CAD.,Beyoğlu
SULTANAHMET İSHAKPAŞA CADDESİ UATD TALEBİ,Fatih
TÜRKİYE HASTANESİ TAKSİ DURAĞI,Şişli
YEREBATAN TAKSİ,Fatih
GALATAPORT TAKSİ DURAĞI,Beyoğlu
S.S.BÜYÜKŞEHİR TAKSİ DURAĞI,Beylikdüzü
METROPOL TAKSİ,Güngören
İSPARK BARBAROS CAD TAKSİ,Beykoz
VADİ TAKSİ,Başakşehir
OLİVİUM OUTLET CENTER TAKSİ,Zeytinburnu
VADİ TAKSİ DURAĞI,Sarıyer
İSPARK - KADIKÖY İDO İSKELESİ HALDUN TANER SAHNESİ ÖNÜ,Kadıköy
İSPARK ZEYNEP KAMİL,Üsküdar
İSPARK MERTER METRO,Güngören
KOCATEPE METRO TAKSİ DURAĞI,Bayrampaşa
FORUM İSTANBUL TAKSİ DURAĞI,Bayrampaşa
YEŞİLTEPE TAKSİ DURAĞI,Zeytinburnu
İSPARK - ZEYTİNBURNU 58. BULVAR DEPO DURAĞI,Zeytinburnu
ALTIN TAKSİ DURAĞI,Bayrampaşa
BAYRAMPAŞA MERKEZ STAD TAKSİ DURAĞI,Bayrampaşa
TERCÜMAN TAKSİ,Zeytinburnu
KEMERTÜRK TAKSI,Eyüpsultan
BAĞLARBAŞI TAKSİ DURAĞI,Gaziosmanpaşa
DURAK TAKSİ,Eyüpsultan
EYÜP METRO TAKSİ,Eyüpsultan
RAMİ MEYDAN ERAY TAKSİ DURAĞI,Eyüpsultan
HUZUR TAKSİ DURAĞI,Eyüpsultan
KULE TAKSİ DURAĞI,Fatih
ŞEHREMİNNİ TAKSİ DURAĞI,Fatih
PAZARİÇİ ÇEŞMETAKSİ DURAĞI,Gaziosmanpaşa
EYÜP BULVAR TAKSİİ DURAĞI,Eyüpsultan
FINDIKZADE TELE TAKSİ,Fatih
PENDİK DEVLET HASTANESİ  TAKSİ DURAĞI,Pendik
MARMARA ÜNV.EĞT.VE ARAŞ.HAST YENİ2,Pendik
KARTALTEPE MAH ATATÜRK BULVARI UMUMA AÇIK TAKSİ DURAĞI,Kartal
TOPSELVİ MERKEZ TAKSİ,Kartal
GÜLLÜBAĞLAR,Pendik
ESENTEPE TAKSİ,Kartal
KARTAL METRO DURAĞI,Kartal
SS.124 NOLU DÖRTYOL TAKSİ DURAĞI,Kartal
CEVİZLİ TAKSİ DURAĞI,Kartal
ÇEBİ TAKSİ,Kartal
DRAGOS TAKSİ,Maltepe
ADLİYE-HASTANE METRO DURAĞI-2,Kartal
DURU TAKSİ DURAĞI,Kartal
İSPARK Gülsuyu Metro Durağı,Maltepe
MALTEPE SAHİL TAKSİ,Maltepe
SÜREYYA TAKSİ DURAĞI,Maltepe
GÜVEN TAKSİ DURAĞI,Kartal
BOSTANCI İDO UMUMA AÇIK TAKSİ DURAĞI,Kadıköy
BOSTANCİ MEYDAN TAKSİ,Kadıköy
ALO TAKSİ DURAĞI,Kadıköy
HİZMET TAKSİ,Sancaktepe
BOSTANCI METRO DURAĞI-4,Kadıköy
KOCAYOL TAKSİ,Kadıköy
BOSTANCI METRO DURAĞI-1,Kadıköy
ALTUNİZADE ÜSKÜDAR,Üsküdar
FENER YOLU CADDESİ UMUMA AÇIK TAKSİ DURAĞI,Kadıköy
POYRAZ SOKAK UMUMA AÇIK TAKSİ DURAĞI,Kadıköy
"KALAMIŞ MARİNA TAKSİ DURAĞI""",Kadıköy
KALAMIŞ OKUL TAKSİ DURAĞI,Kadıköy
GÜNAYDIN TAKSİ DURAĞI,Beşiktaş
DEMİRCİKÖY MARTI TAKSİ DURAĞI-2-,Sarıyer
VALİDEBAĞ TAKSİ DURAĞI,Üsküdar
İSPARK - ÜSKÜDAR BEYLERBEYİ METROBÜS DURAĞI YANI,Üsküdar
BOĞAZİÇİ TAKSİ DURAĞI,Beşiktaş
SARIYER KİREÇBURNU TAKSİ DURAĞI,Sarıyer
BORSA TAKSİ DURAĞI,Sarıyer
ÜSKÜDAR BADEM TAKSİ,Üsküdar
FENER YOLU TAKSİ DURAĞI,Kadıköy
EMİRGAN TAKSİ DURAĞI,Sarıyer
BALTA LİMANI TAKSİ DURAĞI,Sarıyer
MARTI DURAĞI YONCA EVLERİ 1,Sarıyer
NET TAKSİ DURAĞI,Üsküdar
KÜPLÜCE TAKSİ DURAĞI,Üsküdar
TEPEGÖZ SOKAK,Kadıköy
İSPARK UZUNÇAYIR,Kadıköy
GÖZTEPE HİZMET TAKSİ,Kadıköy
İSPARK - SARIYER İSTİNYE İDO ÖNÜ,Sarıyer
ÇAMLICA TURİZM TAKSİ DURAĞI,Üsküdar
OPERATÖR CEMİL TOPUZLU CADDESİ UMUMA AÇIK TAKSİ DURAĞI TALEBİ,Kadıköy
TANZİMAT TAKSİ DURAĞI,Kadıköy
SANTRAL TAKSİ DURAĞI-1,Kadıköy
EMRE AYDIN MESA TAKSİ DURAĞI,Üsküdar
SOYAK TAKSİ DURAĞI,Üsküdar
BULVAR TAKSİ DURAĞI,Üsküdar
GÖZTEPE MEDİKAL PARK TELSİZ TAKSİ DURAĞI,Kadıköy
AS TAKSİ DURAĞI,Kadıköy
FETİH(ATAŞEHİR) TELSİZ TAKSİ DURAĞI,Ataşehir
SUADİYE MERKEZ TAKSİ DURAĞI,Kadıköy
ÖZLEM TUR TAKSİ,Kadıköy
ÇAYIR TAKSİ DURAĞI,Üsküdar
ÜSKÜDAR FIRIN SK TAKSİ DURAĞI,Üsküdar
OPTİMUM AVM ÖNÜ,Ataşehir
KAZASKER TAKSİ DURAĞI (ÖZEN TAKSİ),Kadıköy
İSPARK SUİŞ,Ümraniye
ÇAMLICA BEREKET TAKSİ DURAĞI,Ümraniye
MEDİCAL PARK TAKSİ DURAĞI,Kadıköy
İSPARK BEYKOZ,Beykoz
BOSTANCI İDO,Kadıköy
İSPAK - KADIKÖY BOSTANCI İDO VE ADALAR İSKELESİ ÖNÜ,Kadıköy
NİHAT TARLAN TAKSİ DURAĞI,Kadıköy
MY WORD AĞAOĞLU TAKSİ,Ataşehir
BATI ATAŞEHİR MERKEZ TAKSİ DURAĞI,Ataşehir
ATAŞEHİR ŞİRİN TAKSİ DURAĞI,Ataşehir
ATAŞEHİR GREEN PARK OTELİ,Ataşehir
İÇERENKÖY MERKEZ TAKSİ,Ataşehir
SOYAK YENİ ŞEHİR TAKSİ,Ümraniye
FINDIKLI MERKEZ TAKSİ DURAĞI,Ataşehir
İSPARK ATAŞEHİR,Ataşehir
İSPARK - MALTEPE İDO İSKELESİ,Maltepe
MARMARA TIP FAKÜLTESİ TAKSİ DURAĞI,Maltepe
ATAŞEHİR SİTE TAKSİ DURAĞI,Ataşehir
ATALAR TAKSİ DURAĞI,Kartal
PALMİYE TAKSİ DURAĞI,Kartal
AĞAOĞLU ELTES GÜNEŞİ TAKSİ DURAĞI,Ümraniye
İSPARK KARTAL HÜRRİYET CAD.,Kartal
İSPARK KARTAL İDO,Kartal
KARTAL ÇAVUŞOĞLU TAKSİ DURAĞI,Kartal
SEKMEN TAKSİ DURAĞI,Kartal
SEKMEN TAKSİ DURAĞI,Kartal
KARTAL KURFALI TAKSİ DURAĞI,Kartal
GÜLDESTE CADDESİ UMUMA AÇIK TAKSİ DURAĞI,Pendik
PENDİK BİRLİK TAKSİ DURAĞI,Pendik
İSPARK - PENDİK MARİNA AVM ÖNÜ,Pendik
PENDİK MERKEZ TAKSİ DURAĞI,Pendik
PENDİK DENİZ TAKSİ DURAĞI,Pendik
GAR TAKSİ,Tuzla
PENDİK KÖYÜ KIZILYERLER TAKSİ DURAĞI,Pendik
PENDİK DİVAN TAKSİ DURAĞI,Pendik
SİTE TAKSİ,Esenyurt
ALTINYILDIZ TAKSİ DURAĞI,Esenyurt
MİGROS TAKSİ,Beylikdüzü
ADAKENT TAKSİ DURAĞI,Esenyurt
MARMARA LİMAN TAKSİ,Beylikdüzü
Teşvikiye Merkez Taksi,Beşiktaş
BAŞAK TAKSİ,Kağıthane
İdare Taksi-3,Kağıthane
NEF TAKSİ,Kağıthane
ARNAVUTKÖY MERKEZ TAKSİ,Arnavutköy
ARNAVUTKÖY HADIMKÖY MERKEZ TAKSİ,Arnavutköy
ASTORİA  TAKSİ DURAĞI,Şişli
ATAŞEHİR MERKEZ TAKSİ,Ataşehir
FERHATPAŞA MERKEZ TAKSİ,Ataşehir
HAS TAKSİ,Ataşehir
İÇERENKÖY CARREFOR AVM TAKSİ,Ataşehir
SOYAK SİTE TAKSİ,Ataşehir
TRENDİST TAKSİ,Ataşehir
Kirazlı Merkez Taksi,Bağcılar
212 TAKSİ,Bağcılar
217.SOKAK NO:1 T.ÖZAL BULVARI,Çekmeköy
YILDIZ TAKSİ,Beşiktaş
GÜVEN TAKSİ -2-,Şişli
AİLE TAKSİ,Beşiktaş
ÇEVİK TAKSİ,Beşiktaş
UMUMA AÇIK,Küçükçekmece
Fulya Mehmetçik Taksi,Şişli
ULUS VADİ TAKSİ,Beşiktaş
MİDDİLİST TAKSİ DURAĞI,Şişli
Özbal Taksi,Şişli
RASATHANE TAKSİ DURAĞI,Üsküdar
ESENTEPE DEDEMAN BEŞİKTAŞ TAKSİ,Beşiktaş
ŞİŞLİ KAPTANPAŞA DARULACEZE YOLU,Şişli
Mecidiyeköy Yolu Caddesi(trump kuleleri avm önü),Şişli
DİLAN TAKSİ-1,Şişli
İstoç Taksi,Bağcılar
SİLİVRİ OTOGAR TAKSİ DURAĞI,Silivri
DEPOSİTE(AVM) TAKSİ DURAĞI,Başakşehir
KÜÇÜKKÖY ÖZ TAKSİ KOOP,Gaziosmanpaşa
Nurtepe Taksi-1,Kağıthane
GAZİOSMANPAŞA DEVLET HASTANESİ TAKSİ,Gaziosmanpaşa
ÖZEL EMSEY HASTANESİ ÖNÜ UMUMA AÇIK TAKSİ DURAĞI,Pendik
BUYAKA TAKSİ DURAĞI,Ümraniye
SAHİL TAKSİ-1,Büyükçekmece
MAT CENTER,Bağcılar
HÜR TAKSİ,Bağcılar
TARABYA TAKSİ,Sarıyer
FLORA TAKSİ,Ataşehir
CEVİZLİ TAKSİ,Kartal
ÇAĞLAYAN TAKSİ,Kağıthane
KERVANCILAR TAKSİ,Ataşehir
AVCILAR MARMARA TAKSİ DURAĞI,Avcılar
CEVİZLİ İSTASYON,Kartal
ÇİNİLİ TAKSİ,Üsküdar
İSPARK CEVİZLİBAĞ,Zeytinburnu
KUBİLAY TAKSİ,Kağıthane
FENER KALAMIŞ YOLU TAKSİ,Kadıköy
Denizköşkler Taksi,Avcılar
ATABİRLİK TAKSİ,Bakırköy
Kayışdağı Caddesi Umuma Açık,Ataşehir
İSPARK KOZYATAĞI METRO-HALYOLU,Ataşehir
İSPARK  KAYIŞDAĞI CAD. BAĞLARİÇİ OTOBÜS DURAĞI ALTI,Ataşehir
SAHRA BİRLİK TAKSİ,Kadıköy
SAMANDIRA MERKEZ TAKSI,Sancaktepe
AVCILAR GOL TAKSİİ DURAĞI,Avcılar
İHLAS İKİ KENT TAKSİ,Beylikdüzü
PALLADİUM AVM ÖNÜ,Ataşehir
BAKIRKÖY BİRLİK TAKSİ,Bakırköy
YENİSAHRA METRO DURAĞI,Kadıköy
BATMAN SOKAK BUHU BABA UMUMA AÇIK TAKSİ DURAĞI,Kadıköy
Denizatı Kent Taksi Durağı,Zeytinburnu
ZİVERBEY TAKSİ,Kadıköy
Atrium Taksi,Bakırköy
DEPO TAKSİ,Zeytinburnu
GÖZTEPE KAVŞAĞI(GÖZTEPE NİDA KULE KARŞISI) İŞ MERKEZİ KARŞISI,Kadıköy
RIHTIM METRO TAKSİ,Kadıköy
İSPARK RIHTIM CADDESİ TAKSİ,Kadıköy
OSMANİYE TAKSİ DURAĞI,Bakırköy
İSPARK DUMLUPINAR,Bahçelievler
OSMANİYE MERKEZ TAKSİ DURAĞI,Bakırköy
TURUNCU TAKSİ,Bahçelievler
Göztepe Metro Durağı,Üsküdar
ESMAN TAKSİ,Ataşehir
ADIGÜZEL SİTELER TAKSİ,Ataşehir
Balıklı Rum Hastane Taksi,Zeytinburnu
KADİR HAS ÇOCUK DÜNYASI TAKSİ,Bahçelievler
BAKIRKÖY METRO DURAĞI,Bakırköy
ŞERİFALİ CAN TAKSİ,Ümraniye
Ünalan Metro Durağı,Üsküdar
Samatya SGK Hastane - 1,Fatih
İSPARK BURHAN FELEK CAD. TAKSİ,Üsküdar
İstanbul EvleriTaksi 1,Bahçelievler
TORYUM AVM TAKSİ,Esenyurt
ALİ DEDE CAD.MEDİPOL HASTANESİ YANI,Kadıköy
Çiçek Taksi,Bahçelievler
Yenikapı Taksi,Fatih
YEŞİLKENT TAKSİ DURAĞI,Beylikdüzü
Aksaray Taksi,Fatih
Sefaköy Merkez Taksi - 2,Küçükçekmece
MERKEZ EVLERİ,Zeytinburnu
STAR CİTY TAKSİ,Bahçelievler
KAYA TAKSİ,Kadıköy
HİLTON TAKSİ,Kadıköy
EVRENTUR,Kadıköy
ALP TAKSİ,Kadıköy
HURRY IN TURİZM OTEL TAKSİ,Güngören
ÜSKÜDAR ÇAYIR TAKSİ DURAĞI,Üsküdar
BİRLİK TAKSİ,Üsküdar
Maya Residans,Beşiktaş
İSTANBUL ADALET SARAYI TAKSİ,Kağıthane
AKATLAR TAKSİ,Beşiktaş
Kanyon Taksi - 1,Şişli
Çınar Taksi,Beşiktaş
POLLCENTER TAKSİ DURAĞI,Şişli
ÇAMLIK CADDESİ İSPARK,Beşiktaş
UYGUN TAKSİ,Beşiktaş
KAĞITHANE EMNİYET TAKSİ DURAĞI,Kağıthane
MEVLANA TAKSİ DURAĞI,Gaziosmanpaşa
İSPARK 4. LEVENT METRO ÇIKIŞI,Kağıthane
BİZİM TAKSİ,Beykoz
2.ULUS MERKEZ TAKSİ,Beşiktaş
Konak Taksi,Beşiktaş
SEYRANTEPE EMNİYET TAKSİ DURAĞI,Kağıthane
CEBECİ MERKEZ TAKSİ,Sultangazi
HASTANE ACİL TAKSİ-1 (DOĞUŞ OTO),Sarıyer
MASHATTAN TAKSİ-1,Sarıyer
İSPARK SAİP MOLLA CAD. TAKSİ DURAĞI,Beykoz
KÜÇÜKEV TAKSİ,Sarıyer
ŞİRKET TAKSİ,Sarıyer
ACIBADEM ÇAMLIK TAKSİ,Sarıyer
Göktürk Merkez Taksi-3,Eyüpsultan
KOÇ TAKSİ,Zeytinburnu
Tepebaşı Taksi - 1,Beyoğlu
Pera Taksi,Beyoğlu
ZİNCİRLİKUYU THE GREEN TAKSİ,Şişli
